device,dtype,dist,levy_alpha,dim,size,algo,iter,sample_id,batch_time_ms,batch_time_ms_std,sample_time_ms,sample_time_ms_std,orthogonality_error,polar_error
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,1,0,0.10572979226708412,0.01155486456916687,0.02643244806677103,0.0028887161422917174,0.9076930284500122,0.8121255040168762
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,1,1,0.10572979226708412,0.01155486456916687,0.02643244806677103,0.0028887161422917174,0.9684964418411255,0.9298470616340637
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,1,2,0.10572979226708412,0.01155486456916687,0.02643244806677103,0.0028887161422917174,0.9702322483062744,0.9034684300422668
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,1,3,0.10572979226708412,0.01155486456916687,0.02643244806677103,0.0028887161422917174,0.9690186381340027,0.9080033898353577
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,2,0,0.13202225090935826,0.011767441934095594,0.033005562727339566,0.0029418604835238986,0.7539896368980408,0.62119460105896
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,2,1,0.13202225090935826,0.011767441934095594,0.033005562727339566,0.0029418604835238986,0.9309518337249756,0.846233069896698
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,2,2,0.13202225090935826,0.011767441934095594,0.033005562727339566,0.0029418604835238986,0.8795868158340454,0.7635786533355713
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,2,3,0.13202225090935826,0.011767441934095594,0.033005562727339566,0.0029418604835238986,0.8821151256561279,0.78023362159729
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,3,0,0.16394455451518297,0.0062486911237513735,0.04098613862879574,0.0015621727809378434,0.5558074712753296,0.42098134756088257
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,3,1,0.16394455451518297,0.0062486911237513735,0.04098613862879574,0.0015621727809378434,0.8034631013870239,0.6807868480682373
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,3,2,0.16394455451518297,0.0062486911237513735,0.04098613862879574,0.0015621727809378434,0.6913454532623291,0.5494284629821777
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,3,3,0.16394455451518297,0.0062486911237513735,0.04098613862879574,0.0015621727809378434,0.7280523180961609,0.5945488810539246
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,4,0,0.19965757383033633,0.016242714935817346,0.04991439345758408,0.004060678733954336,0.4282459318637848,0.28936201333999634
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,4,1,0.19965757383033633,0.016242714935817346,0.04991439345758408,0.004060678733954336,0.6075994968414307,0.4722042381763458
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,4,2,0.19965757383033633,0.016242714935817346,0.04991439345758408,0.004060678733954336,0.4823217988014221,0.3548969030380249
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,4,3,0.19965757383033633,0.016242714935817346,0.04991439345758408,0.004060678733954336,0.5330919623374939,0.3970162272453308
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,5,0,0.22731750505045056,0.0067528928027437655,0.05682937626261264,0.0016882232006859414,0.3728218674659729,0.22635726630687714
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,5,1,0.22731750505045056,0.0067528928027437655,0.05682937626261264,0.0016882232006859414,0.45940712094306946,0.323691725730896
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,5,2,0.22731750505045056,0.0067528928027437655,0.05682937626261264,0.0016882232006859414,0.4092935621738434,0.27179184556007385
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Muon,5,3,0.22731750505045056,0.0067528928027437655,0.05682937626261264,0.0016882232006859414,0.42441701889038086,0.2819952666759491
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,1,0,0.11086504673585296,0.007696405723628793,0.02771626168396324,0.0019241014309071983,0.9247277975082397,0.8353849649429321
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,1,1,0.11086504673585296,0.007696405723628793,0.02771626168396324,0.0019241014309071983,0.9720636606216431,0.9378520250320435
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,1,2,0.11086504673585296,0.007696405723628793,0.02771626168396324,0.0019241014309071983,0.9757860898971558,0.917233407497406
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,1,3,0.11086504673585296,0.007696405723628793,0.02771626168396324,0.0019241014309071983,0.9734974503517151,0.9203525185585022
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,2,0,0.13471749844029546,0.008480921127213903,0.033679374610073864,0.002120230281803476,0.8125591278076172,0.6868612170219421
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,2,1,0.13471749844029546,0.008480921127213903,0.033679374610073864,0.002120230281803476,0.9482135772705078,0.879566490650177
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,2,2,0.13471749844029546,0.008480921127213903,0.033679374610073864,0.002120230281803476,0.9149509072303772,0.8153675198554993
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,2,3,0.13471749844029546,0.008480921127213903,0.033679374610073864,0.002120230281803476,0.9170102477073669,0.8263936638832092
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,3,0,0.1563127152621746,0.007855708582863287,0.03907817881554365,0.0019639271457158216,0.5514693856239319,0.4457835555076599
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,3,1,0.1563127152621746,0.007855708582863287,0.03907817881554365,0.0019639271457158216,0.8355041742324829,0.724288821220398
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,3,2,0.1563127152621746,0.007855708582863287,0.03907817881554365,0.0019639271457158216,0.7240856289863586,0.5961847901344299
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,3,3,0.1563127152621746,0.007855708582863287,0.03907817881554365,0.0019639271457158216,0.7572291493415833,0.6377983093261719
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,4,0,0.18172751879319549,0.011233522934451163,0.04543187969829887,0.002808380733612791,0.3378375172615051,0.2579801380634308
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,4,1,0.18172751879319549,0.011233522934451163,0.04543187969829887,0.002808380733612791,0.607072651386261,0.48794543743133545
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,4,2,0.18172751879319549,0.011233522934451163,0.04543187969829887,0.002808380733612791,0.45177173614501953,0.3541436493396759
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,4,3,0.18172751879319549,0.011233522934451163,0.04543187969829887,0.002808380733612791,0.5114850997924805,0.4026191234588623
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,5,0,0.21062750602141023,0.007792142726495846,0.05265687650535256,0.0019480356816239616,0.1759227216243744,0.12857502698898315
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,5,1,0.21062750602141023,0.007792142726495846,0.05265687650535256,0.0019480356816239616,0.35839423537254333,0.2807982861995697
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,5,2,0.21062750602141023,0.007792142726495846,0.05265687650535256,0.0019480356816239616,0.25723209977149963,0.20309662818908691
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,Dion,5,3,0.21062750602141023,0.007792142726495846,0.05265687650535256,0.0019480356816239616,0.2844308316707611,0.21830473840236664
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,AOLxDion,1,0,0.08515000808984041,0.007892227080736372,0.021287502022460103,0.001973056770184093,0.6215655207633972,0.5151652693748474
cuda:0 (NVIDIA L40S),bfloat16,levy,1.0,"(64, 64)",64,AOLxDion,1,1,0.08515000808984041,0.007892227080736372,0.021287502022460103,0.001973056770184093,0.6950277090072632,0.5781403183937073
