device,dtype,dist,levy_alpha,dim,size,algo,iter,sample_id,batch_time_ms,batch_time_ms_std,sample_time_ms,sample_time_ms_std,orthogonality_error,polar_error
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,0,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8453307747840881,0.6783434748649597
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,1,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8453670144081116,0.6811221241950989
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,2,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8463773727416992,0.6821717023849487
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,3,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.847122073173523,0.6830145716667175
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,4,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8465970158576965,0.6836833357810974
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,5,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8471846580505371,0.6866351366043091
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,6,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8460806012153625,0.68313068151474
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,7,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8456594944000244,0.6817101836204529
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,8,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8449521064758301,0.6798818707466125
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,9,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8452948927879333,0.6795666813850403
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,10,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.84564608335495,0.6799734234809875
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,11,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8467268347740173,0.6851701140403748
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,12,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8462367057800293,0.6815570592880249
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,13,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8459858298301697,0.682583212852478
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,14,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8460649847984314,0.6825225949287415
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,15,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8465100526809692,0.6859437227249146
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,16,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8457792401313782,0.6821523904800415
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,17,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.846377968788147,0.6843338012695312
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(64, 64)",64,Muon,1,18,0.10572228347882628,0.006530683341789358,0.0033038213587133214,0.00020408385443091743,0.8467974662780762,0.6848068833351135
