device,dtype,dist,levy_alpha,dim,size,algo,iter,sample_id,batch_time_ms,batch_time_ms_std,sample_time_ms,sample_time_ms_std,orthogonality_error,polar_error
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,0,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8453524708747864,0.6783655285835266
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,1,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8453399538993835,0.6810998320579529
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,2,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8463484644889832,0.6821396946907043
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,3,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8470938801765442,0.6829959750175476
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,4,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.846627414226532,0.683718204498291
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,5,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8471899032592773,0.6866506338119507
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,6,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8461008667945862,0.6831458806991577
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,7,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8456571102142334,0.6817111372947693
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,8,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8449140191078186,0.6798601746559143
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,9,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8452758193016052,0.6795313358306885
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,10,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8456823229789734,0.6800079941749573
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,11,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8466865420341492,0.6851280927658081
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,12,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8462375998497009,0.6815732717514038
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,13,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.845995306968689,0.6825947165489197
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,14,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8460546731948853,0.6825101971626282
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,15,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8465126156806946,0.6859436631202698
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,16,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8457850813865662,0.6821548938751221
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,17,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8463956117630005,0.6843500137329102
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,18,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8468287587165833,0.6848210692405701
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,19,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8460885286331177,0.682024359703064
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,20,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8463781476020813,0.6820744872093201
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,21,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8470021486282349,0.6854286789894104
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,22,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8454116582870483,0.6802959442138672
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,23,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8455425500869751,0.6801411509513855
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,24,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8461822271347046,0.6825511455535889
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,25,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8468007445335388,0.6847994923591614
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,26,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8455836772918701,0.6801857948303223
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,27,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8453602194786072,0.6800127625465393
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,28,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8462117910385132,0.6807955503463745
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,29,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8457003235816956,0.6807260513305664
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,30,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8458932042121887,0.6828676462173462
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,1,31,12.300787842832506,24.34491390815758,0.3843996200885158,0.7607785596299244,0.8457573652267456,0.6822346448898315
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,0,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5333307981491089,0.39332449436187744
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,1,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5460248589515686,0.40143704414367676
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,2,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5441154837608337,0.4002825617790222
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,3,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5425947904586792,0.39455533027648926
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,4,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5455018877983093,0.4025856852531433
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,5,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.553202211856842,0.4157443046569824
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,6,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5467231869697571,0.4065428078174591
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,7,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5470020174980164,0.4043791592121124
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,8,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5456313490867615,0.40184128284454346
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,9,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5426642894744873,0.3977818489074707
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,10,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5364776253700256,0.39805036783218384
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,11,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5516348481178284,0.4111444652080536
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,12,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5387158989906311,0.3949654996395111
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,13,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5469818115234375,0.4037097096443176
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,14,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.543725311756134,0.4032174348831177
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,15,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5582154989242554,0.4202757775783539
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,16,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5477961897850037,0.4045914113521576
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,17,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5518152117729187,0.4085272550582886
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,18,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5451532006263733,0.4087972939014435
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,19,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5482824444770813,0.4011681079864502
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,20,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5431092977523804,0.3989306092262268
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,21,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5497877597808838,0.4095608592033386
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,22,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5373026728630066,0.40086430311203003
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,23,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5407203435897827,0.3997410535812378
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,24,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5417559742927551,0.404731810092926
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,25,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5512099862098694,0.40821874141693115
cuda:0 (NVIDIA L40S),float32,normal,,"(64, 64)",64,Muon,2,26,11.672025255393237,23.06020996960449,0.36475078923103865,0.7206315615501403,0.5424242615699768,0.39551040530204773
