device,dtype,dist,levy_alpha,dim,size,algo,iter,sample_id,batch_time_ms,batch_time_ms_std,sample_time_ms,sample_time_ms_std,orthogonality_error,polar_error
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(4096, 4096)",4096,Muon,1,0,24.692413804586977,0.5437278967601206,3.086551725573372,0.06796598709501507,0.997111439704895,0.9547957181930542
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(4096, 4096)",4096,Muon,1,1,24.692413804586977,0.5437278967601206,3.086551725573372,0.06796598709501507,0.997111439704895,0.9547929167747498
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(4096, 4096)",4096,Muon,1,2,24.692413804586977,0.5437278967601206,3.086551725573372,0.06796598709501507,0.9971113801002502,0.9547941088676453
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(4096, 4096)",4096,Muon,1,3,24.692413804586977,0.5437278967601206,3.086551725573372,0.06796598709501507,0.997111439704895,0.9547902941703796
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(4096, 4096)",4096,Muon,1,4,24.692413804586977,0.5437278967601206,3.086551725573372,0.06796598709501507,0.997111439704895,0.9547850489616394
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(4096, 4096)",4096,Muon,1,5,24.692413804586977,0.5437278967601206,3.086551725573372,0.06796598709501507,0.9971113801002502,0.9547913074493408
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(4096, 4096)",4096,Muon,1,6,24.692413804586977,0.5437278967601206,3.086551725573372,0.06796598709501507,0.9971113801002502,0.954788863658905
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(4096, 4096)",4096,Muon,1,7,24.692413804586977,0.5437278967601206,3.086551725573372,0.06796598709501507,0.9971113801002502,0.9547939896583557
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(4096, 4096)",4096,Muon,2,0,51.621877995785326,0.484210961753685,6.452734749473166,0.060526370219210625,0.9668052196502686,0.8493638634681702
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(4096, 4096)",4096,Muon,2,1,51.621877995785326,0.484210961753685,6.452734749473166,0.060526370219210625,0.9668051600456238,0.8493542671203613
cuda:0 (NVIDIA L40S),bfloat16,normal,,"(4096, 4096)",4096,Muon,2,2,51.621877995785326,0.484210961753685,6.452734749473166,0.060526370219210625,0.9668048620223999,0.8493592143058777
